UniqueID,dung_area_cm2,SWC_%,S_temp
CD3_F_RE_30jul,667,21.7,17.6
CD3_C_NEE_30jul,0,19.2,18.3
CD3_C_RE_30jul,0,19.2,18.3
HD3_F_NEE_30jul,782,21.8,18.1
HD3_F_RE_30jul,782,21.8,18.1
HD3_C_NEE_30jul,0,21.9,18
HD3_C_RE_30jul,0,21.9,18
CD4_F_NEE_30jul,729,27.1,18.2
CD4_F_RE_30jul,729,27.1,18.2
CD4_C_NEE_30jul,0,28,18.3
CD4_C_RE_30jul,0,28,18.3
HD4_F_NEE_30jul,275,24.9,17.8
HD4_F_RE_30jul,275,24.9,17.8
HD4_C_NEE_30jul,0,22.2,18.4
HD4_C_RE_30jul,0,22.2,18.4
HD5_F_NEE_30jul,342,19,19.1
HD5_F_RE_30jul,342,19,19.1
HD5_C_NEE_30jul,0,18.4,19.5
HD5_C_RE_30jul,0,18.4,19.5
CD3_F_NEE_31jul,667,20,18.3
CD3_F_RE_31jul,667,20,18.3
CD3_C_NEE_31jul,0,15.6,19.1
CD3_C_RE_31jul,0,15.6,19.1
HD3_F_NEE_31jul,782,18.8,18.8
HD3_F_RE_31jul,782,18.8,18.8
HD3_C_NEE_31jul,0,18.1,18.4
HD3_C_RE_31jul,0,18.1,18.4
CD4_F_NEE_31jul,729,26.8,18.8
CD4_F_RE_31jul,729,26.8,18.8
CD4_C_NEE_31jul,0,20.9,18.8
CD4_C_RE_31jul,0,20.9,18.8
HD5_F_NEE_31jul,342,17.8,18.7
HD5_F_RE_31jul,342,17.8,18.7
HD5_C_NEE_31jul,0,16.6,19.6
HD5_C_RE_31jul,0,16.6,19.6
HD4_F_NEE_31jul,275,24.5,18.8
HD4_F_RE_31jul,275,24.5,18.8
HD4_C_NEE_31jul,0,23,18.7
HD4_C_RE_31jul,0,23,18.7
HD1_F_NEE_31jul,812,21.5,19.2
HD1_F_RE_31jul,812,21.5,19.2
HD1_C_NEE_31jul,0,17.6,20.3
HD1_C_RE_31jul,0,17.6,20.3
CD1_F_NEE_31jul,1023,16.7,22.2
CD1_F_RE_31jul,1023,16.7,22.2
CD1_C_NEE_31jul,0,16.9,21.6
CD1_C_RE_31jul,0,16.9,21.6
HD2_F_NEE_31jul,682,15.6,18.7
HD2_F_RE_31jul,682,15.6,18.7
HD2_C_NEE_31jul,0,15.7,21.3
HD2_C_RE_31jul,0,15.7,21.3
CD2_F_NEE_31jul,638,17.3,21.5
CD2_F_RE_31jul,638,17.3,21.5
CD2_C_NEE_31jul,0,17.9,22.8
CD2_C_RE_31jul,0,17.9,22.8
CD3_F_NEE_01aug,667,15.3,17.6
CD3_F_RE_01aug,667,15.3,17.6
CD3_C_NEE_01aug,0,11.8,17.8
CD3_C_RE_01aug,0,11.8,17.8
HD3_F_NEE_01aug,782,16.7,18.5
HD3_F_RE_01aug,782,16.7,18.5
HD3_C_NEE_01aug,0,14.4,18.2
HD3_C_RE_01aug,0,14.4,18.2
CD4_F_NEE_01aug,729,21.8,18.6
CD4_F_RE_01aug,729,21.8,18.6
CD4_C_NEE_01aug,0,23.1,19.1
CD4_C_RE_01aug,0,23.1,19.1
HD5_F_NEE_01aug,342,16.8,18.6
HD5_F_RE_01aug,342,16.8,18.6
HD5_C_NEE_01aug,0,13.6,20.6
HD5_C_RE_01aug,0,13.6,20.6
HD4_F_NEE_01aug,275,19.9,18.7
HD4_F_RE_01aug,275,19.9,18.7
HD4_C_NEE_01aug,0,16.5,18.4
HD4_C_RE_01aug,0,16.5,18.4
CD3_F_NEE_02aug,667,14.8,18
CD3_F_RE_02aug,667,14.8,18
CD3_C_NEE_02aug,0,10,19
CD3_C_RE_02aug,0,10,19
HD3_F_NEE_02aug,782,13.6,18.9
HD3_F_RE_02aug,782,13.6,18.9
HD3_C_NEE_02aug,0,11.9,18.7
HD3_C_RE_02aug,0,11.9,18.7
CD4_F_NEE_02aug,729,22.2,19.3
CD4_F_RE_02aug,729,22.2,19.3
CD4_C_NEE_02aug,0,15.8,19.4
CD4_C_RE_02aug,0,15.8,19.4
HD5_F_NEE_02aug,342,13.6,19.3
HD5_F_RE_02aug,342,13.6,19.3
HD5_C_NEE_02aug,0,11.8,19.6
HD5_C_RE_02aug,0,11.8,19.6
HD4_F_NEE_02aug,275,21.5,18.2
HD4_F_RE_02aug,275,21.5,18.2
HD4_C_NEE_02aug,0,16.8,18.3
HD4_C_RE_02aug,0,16.8,18.3
CG5_F_NEE_16jul,224,37.8,18.6
CG5_F_RE_16jul,224,37.8,18.6
CG5_C_NEE_16jul,0,36.9,18.6
CG5_C_RE_16jul,0,36.9,18.6
CG1_F_NEE_17jul,440,22.5,20.9
CG1_F_RE_17jul,440,22.5,20.9
CG1_C_NEE_17jul,0,30.7,19.6
